id,platform,text,timestamp
1,X,Government needs to do more for the people in Montego Bay 😠,2025-10-11 10:59:00
2,X,"Di road dem a bad shape in Ocho Rios, we need fix it.",2025-10-13 10:44:00
3,Instagram,Mi cyaan believe how high di rent dem a go in Kingston 💸,2025-10-14 00:36:00
4,X,Street food a sell out fast in Negril 🌮,2025-10-10 16:54:00
5,YouTube,"Cost of living is ridiculous in Mandeville, people a struggle 😓",2025-10-12 13:57:00
6,Instagram,"Budget proposals are out, what do you think about Kingston? 💰",2025-10-10 05:47:00
7,X,Di stock market in Kingston a rise 📈,2025-10-11 18:40:00
8,YouTube,Can’t believe another shooting happened in Montego Bay 😡,2025-10-10 05:25:00
9,YouTube,Did you see that crazy goal last night for Ocho Rios ⚽,2025-10-13 21:35:00
10,X,"Taxes keep going up, when will it stop in Kingston? 💸",2025-10-14 06:09:00
11,X,Hope the new law improves public services about Mandeville 📜,2025-10-11 01:44:00
12,YouTube,Mi cyaan wait fi di next music festival in Portmore! 🎶,2025-10-14 02:00:00
13,X,Mi cyaan believe how high di rent dem a go in St. Ann 💸,2025-10-12 11:40:00
14,Instagram,Di bus never show up again in Kingston 😩,2025-10-12 05:28:00
15,YouTube,Di stock market in Spanish Town a rise 📈,2025-10-14 03:28:00
16,YouTube,Di power cut last night was rough in Mandeville ⚡,2025-10-10 12:46:00
17,YouTube,Training hard for the upcoming marathon in Negril 🏃‍♂️,2025-10-12 09:28:00
18,Instagram,Street food a sell out fast in Spanish Town 🌮,2025-10-12 08:05:00
19,Instagram,"Water shortage again in Ocho Rios, people a suffer.",2025-10-11 23:38:00
20,X,"Water shortage again in St. Catherine, people a suffer.",2025-10-14 01:51:00
21,X,Mi proud a di new youth program in Montego Bay 🇯🇲,2025-10-14 12:12:00
22,X,Di rain mash up di road dem in Negril 🌧️,2025-10-13 08:05:00
23,X,"That movie 'Island Adventure' was epic, totally worth it 🎬",2025-10-12 02:03:00
24,Instagram,"Taxes keep going up, when will it stop in St. Catherine? 💸",2025-10-13 14:53:00
25,Instagram,"Water shortage again in Ocho Rios, people a suffer.",2025-10-13 10:25:00
26,YouTube,"Di road dem a bad shape in Montego Bay, we need fix it.",2025-10-15 00:29:00
27,X,"Taxes keep going up, when will it stop in Montego Bay? 💸",2025-10-13 05:15:00
28,X,"Taxes keep going up, when will it stop in Mandeville? 💸",2025-10-11 13:50:00
29,Instagram,Our team won the championship in Portmore! 🏆,2025-10-12 03:33:00
30,YouTube,"Water shortage again in St. Catherine, people a suffer.",2025-10-11 12:15:00
31,X,"Crime rates are going up in St. Catherine, stay safe out there 🚨",2025-10-13 01:33:00
32,YouTube,Mi cyaan believe how high di rent dem a go in Ocho Rios 💸,2025-10-12 05:56:00
33,X,Government needs to do more for the people in Spanish Town 😠,2025-10-12 08:37:00
34,YouTube,Mi hungry fi some jerk chicken in Mandeville 🍗,2025-10-13 20:47:00
35,YouTube,"Crime rates are going up in Portmore, stay safe out there 🚨",2025-10-11 12:30:00
36,X,"Crime rates are going up in Spanish Town, stay safe out there 🚨",2025-10-10 17:00:00
37,X,Mi see long queue fi di clinic in Mandeville 🏥,2025-10-10 11:22:00
38,YouTube,Mi cyaan wait fi di next music festival in Negril! 🎶,2025-10-11 13:32:00
39,Instagram,Mi cyaan believe how high di rent dem a go in Mandeville 💸,2025-10-11 05:38:00
40,YouTube,Government needs to do more for the people in St. Ann 😠,2025-10-11 22:30:00
41,X,Did you see that crazy goal last night for Mandeville ⚽,2025-10-10 19:14:00
42,YouTube,"Budget proposals are out, what do you think about Portmore? 💰",2025-10-12 06:20:00
43,X,"Taxes keep going up, when will it stop in Kingston? 💸",2025-10-12 09:56:00
44,X,Mi hungry fi some jerk chicken in St. Ann 🍗,2025-10-12 22:25:00
45,X,Di bus never show up again in Spanish Town 😩,2025-10-12 04:55:00
46,Instagram,Can’t believe another shooting happened in Mandeville 😡,2025-10-14 15:39:00
47,X,"Budget proposals are out, what do you think about St. Ann? 💰",2025-10-13 03:51:00
48,Instagram,Di local festival in Spanish Town was pure vibes! 🎉,2025-10-11 08:02:00
49,Instagram,Street food a sell out fast in Spanish Town 🌮,2025-10-12 14:37:00
50,X,Di bus never show up again in Montego Bay 😩,2025-10-13 07:12:00
51,X,Mi proud a di new youth program in St. Ann 🇯🇲,2025-10-10 17:30:00
52,X,Mi see long queue fi di clinic in Spanish Town 🏥,2025-10-14 13:12:00
53,X,PM's speech today was inspiring about Spanish Town 🙌,2025-10-12 17:31:00
54,YouTube,Mi proud a di new youth program in Portmore 🇯🇲,2025-10-13 04:26:00
55,YouTube,Mi proud a di new youth program in Montego Bay 🇯🇲,2025-10-10 18:59:00
56,Instagram,"Budget proposals are out, what do you think about Spanish Town? 💰",2025-10-10 06:41:00
57,YouTube,Di stock market in Spanish Town a rise 📈,2025-10-14 19:00:00
58,YouTube,Did you see that crazy goal last night for Mandeville ⚽,2025-10-11 06:29:00
59,YouTube,Gas prices are killing me today in Spanish Town 😤,2025-10-11 19:19:00
60,X,Training hard for the upcoming marathon in Negril 🏃‍♂️,2025-10-12 12:09:00
61,YouTube,"Di road dem a bad shape in St. Ann, we need fix it.",2025-10-13 12:39:00
62,YouTube,"Budget proposals are out, what do you think about St. Catherine? 💰",2025-10-14 02:38:00
63,Instagram,Mi see long queue fi di clinic in Portmore 🏥,2025-10-10 18:04:00
64,X,Mi cyaan wait fi di next music festival in Kingston! 🎶,2025-10-13 10:21:00
65,Instagram,Mi glad fi see di Reggae Boyz win dem match in St. Ann!,2025-10-12 01:58:00
66,X,Hope the new law improves public services about Mandeville 📜,2025-10-12 09:56:00
67,X,PM's speech today was inspiring about Mandeville 🙌,2025-10-12 16:26:00
68,YouTube,"Budget proposals are out, what do you think about Portmore? 💰",2025-10-14 17:37:00
69,Instagram,"New album by Reggae Soul just dropped, it's fire 🔥",2025-10-14 23:03:00
70,YouTube,"Water shortage again in Portmore, people a suffer.",2025-10-11 13:54:00
71,Instagram,Hope the new law improves public services about Mandeville 📜,2025-10-13 12:47:00
72,X,"Mi seh, di vibes at di concert in Negril did wicked! 🎵",2025-10-10 12:36:00
73,X,"New album by Vibes Galore just dropped, it's fire 🔥",2025-10-13 23:54:00
74,Instagram,"Taxes keep going up, when will it stop in St. Ann? 💸",2025-10-11 17:10:00
